id;name;zipcode
1;Beograd;11000
2;Novi Sad;21000
3;Nis;18000
4;Kragujevac;34000
5;Subotica;24000
6;Zrenjanin;23000
7;Pancevo;26000
8;Cacak;32000
9;Krusevac;37000
10;Kraljevo;36000
